,city,country,id,last_update,pollutant_avg,pollutant_id,pollutant_max,pollutant_min,pollutant_unit,state,station
0,Rajamahendravaram,India,1,27-09-2019 12:00:00,7,PM2.5,14,1,NA,Andhra_Pradesh,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
1,Rajamahendravaram,India,2,27-09-2019 12:00:00,16,PM10,35,6,NA,Andhra_Pradesh,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
2,Rajamahendravaram,India,3,27-09-2019 12:00:00,20,NO2,31,10,NA,Andhra_Pradesh,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
3,Rajamahendravaram,India,4,27-09-2019 12:00:00,1,NH3,3,1,NA,Andhra_Pradesh,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
4,Rajamahendravaram,India,5,27-09-2019 12:00:00,7,SO2,10,4,NA,Andhra_Pradesh,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
5,Rajamahendravaram,India,6,27-09-2019 12:00:00,36,CO,55,22,NA,Andhra_Pradesh,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
6,Rajamahendravaram,India,7,27-09-2019 12:00:00,19,OZONE,52,8,NA,Andhra_Pradesh,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
7,Tirupati,India,8,27-09-2019 12:00:00,15,PM2.5,48,2,NA,Andhra_Pradesh,"Tirumala, Tirupati - APPCB"
8,Tirupati,India,9,27-09-2019 12:00:00,26,PM10,46,12,NA,Andhra_Pradesh,"Tirumala, Tirupati - APPCB"
9,Tirupati,India,10,27-09-2019 12:00:00,23,NO2,34,10,NA,Andhra_Pradesh,"Tirumala, Tirupati - APPCB"
10,Tirupati,India,11,27-09-2019 12:00:00,5,NH3,5,4,NA,Andhra_Pradesh,"Tirumala, Tirupati - APPCB"
11,Tirupati,India,12,27-09-2019 12:00:00,1,SO2,4,1,NA,Andhra_Pradesh,"Tirumala, Tirupati - APPCB"
12,Tirupati,India,13,27-09-2019 12:00:00,12,CO,21,9,NA,Andhra_Pradesh,"Tirumala, Tirupati - APPCB"
13,Tirupati,India,14,27-09-2019 12:00:00,17,OZONE,22,10,NA,Andhra_Pradesh,"Tirumala, Tirupati - APPCB"
14,Vijayawada,India,15,27-09-2019 12:00:00,30,PM2.5,55,10,NA,Andhra_Pradesh,"PWD Grounds, Vijayawada - APPCB"
15,Vijayawada,India,16,27-09-2019 12:00:00,50,PM10,91,26,NA,Andhra_Pradesh,"PWD Grounds, Vijayawada - APPCB"
16,Vijayawada,India,17,27-09-2019 12:00:00,2,NO2,2,1,NA,Andhra_Pradesh,"PWD Grounds, Vijayawada - APPCB"
17,Vijayawada,India,18,27-09-2019 12:00:00,NA,NH3,NA,NA,NA,Andhra_Pradesh,"PWD Grounds, Vijayawada - APPCB"
18,Vijayawada,India,19,27-09-2019 12:00:00,12,SO2,13,12,NA,Andhra_Pradesh,"PWD Grounds, Vijayawada - APPCB"
19,Vijayawada,India,20,27-09-2019 12:00:00,57,CO,66,53,NA,Andhra_Pradesh,"PWD Grounds, Vijayawada - APPCB"
20,Vijayawada,India,21,27-09-2019 12:00:00,7,OZONE,7,6,NA,Andhra_Pradesh,"PWD Grounds, Vijayawada - APPCB"
21,Visakhapatnam,India,22,27-09-2019 12:00:00,53,PM2.5,107,8,NA,Andhra_Pradesh,"GVM Corporation, Visakhapatnam - APPCB"
22,Visakhapatnam,India,23,27-09-2019 12:00:00,85,PM10,177,7,NA,Andhra_Pradesh,"GVM Corporation, Visakhapatnam - APPCB"
23,Visakhapatnam,India,24,27-09-2019 12:00:00,54,NO2,93,31,NA,Andhra_Pradesh,"GVM Corporation, Visakhapatnam - APPCB"
24,Visakhapatnam,India,25,27-09-2019 12:00:00,1,NH3,2,1,NA,Andhra_Pradesh,"GVM Corporation, Visakhapatnam - APPCB"
25,Visakhapatnam,India,26,27-09-2019 12:00:00,NA,SO2,NA,NA,NA,Andhra_Pradesh,"GVM Corporation, Visakhapatnam - APPCB"
26,Visakhapatnam,India,27,27-09-2019 12:00:00,64,CO,137,27,NA,Andhra_Pradesh,"GVM Corporation, Visakhapatnam - APPCB"
27,Visakhapatnam,India,28,27-09-2019 12:00:00,14,OZONE,21,11,NA,Andhra_Pradesh,"GVM Corporation, Visakhapatnam - APPCB"
